apple 苹果
banana 香蕉
cat 猫
dog 狗
hello 你好
world 世界
computer 计算机
keyboard 键盘
mouse 鼠标
screen 屏幕
program 程序
code 代码
game 游戏
play 玩
music 音乐
book 书
read 阅读
write 写
student 学生
teacher 教师
school 学校
class 班级
friend 朋友
family 家庭
home 家
food 食物
water 水
coffee 咖啡
tea 茶
love 爱
time 时间
year 年
month 月
day 天
week 周
today 今天
tomorrow 明天
yesterday 昨天
morning 早晨
night 夜晚
sun 太阳
moon 月亮
star 星星
sky 天空
cloud 云
rain 雨
snow 雪
wind 风
tree 树
flower 花
grass 草
mountain 山
river 河
sea 海
beach 海滩
island 岛
city 城市
town 镇
street 街道
road 路
car 汽车
bus 公交车
train 火车
plane 飞机
ship 船
bike 自行车
walk 走路
run 跑
jump 跳
swim 游泳
dance 跳舞
sing 唱歌
talk 说话
listen 听
look 看
watch 观看
think 思考
know 知道
learn 学习
teach 教
work 工作
rest 休息
sleep 睡觉
wake 醒来
eat 吃
drink 喝
cook 烹饪
clean 清洁
open 打开
close 关闭
start 开始
stop 停止
begin 开始
end 结束
good 好的
bad 坏的
big 大的
small 小的
long 长的
short 短的
high 高的
low 低的
fast 快的
slow 慢的
hot 热的
cold 冷的
warm 温暖的
cool 凉爽的
happy 快乐的
sad 悲伤的
angry 生气的
glad 高兴的
sorry 抱歉的
thank 感谢
please 请
welcome 欢迎
goodbye 再见
green 绿色
blue 蓝色
red 红色
yellow 黄色
white 白色
black 黑色
orange 橙色
purple 紫色
pink 粉色
brown 棕色
number 数字
letter 字母
word 单词
sentence 句子
story 故事
poem 诗
song 歌曲
movie 电影
photo 照片
picture 图片
color 颜色
shape 形状
circle 圆形
square 方形
triangle 三角形
line 线
point 点
space 空间
place 地方
area 区域
zone 地带
country 国家
nation 民族
people 人们
person 人
man 男人
woman 女人
child 孩子
baby 婴儿
boy 男孩
girl 女孩
hand 手
foot 脚
head 头
face 脸
eye 眼睛
nose 鼻子
mouth 嘴
ear 耳朵
hair 头发
body 身体
heart 心脏
mind 思维
life 生活
death 死亡
health 健康
sport 运动
exercise 锻炼
power 力量
energy 能量
force 力
speed 速度
move 移动
change 改变
turn 转向
grow 成长
build 建造
make 制作
create 创造
design 设计
draw 画
paint 绘画
art 艺术
beauty 美丽
pretty 漂亮的
nice 好的
great 伟大的
amazing 惊人的
wonderful 精彩的
perfect 完美的
special 特别的
important 重要的
useful 有用的
easy 容易的
hard 困难的
simple 简单的
complex 复杂的
new 新的
old 旧的
young 年轻的
ancient 古老的
modern 现代的
future 未来
past 过去
present 现在
always 总是
never 从不
sometimes 有时
often 经常
usually 通常
maybe 也许
sure 确定
right 正确的
wrong 错误的
true 真实的
false 虚假的
real 真实的
fake 假的
natural 自然的
normal 正常的
strange 奇怪的
different 不同的
same 相同的
similar 相似的
equal 相等的
more 更多
less 更少
much 许多
many 很多
few 少数
little 小的
all 全部
some 一些
any 任何
each 每个
every 每一个
other 其他的
another 另一个
both 两者
either 任一
neither 两者都不
yes 是
okay 好的
fine 很好
great 很棒
awesome 极好的
excellent 优秀的
fantastic 极好的
super 超级的
best 最好的
better 更好的
worse 更差的
worst 最差的
first 第一
last 最后
next 下一个
previous 前一个
above 上面
below 下面
over 在上
under 在下
inside 里面
outside 外面
front 前面
back 后面
left 左边
right 右边
center 中心
middle 中间
side 旁边
top 顶部
bottom 底部
up 向上
down 向下
here 这里
there 那里
where 哪里
when 何时
what 什么
why 为什么
how 如何
who 谁
which 哪个
whose 谁的

